Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lao PDR,5.8,5.8,5.9,6.1,6.4,7.1,8.6,7.6,7.8,7.5,,8.5,8.0,8.0,8.0,7.6,7.3,7.0,6.9,6.2,5.5,0.5,2.5,2.7,..
Latvia,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,0.6,-3.5,6.7,3.4,..
Lebanon,1.3,3.8,3.4,3.2,6.7,2.7,1.5,9.3,9.1,10.2,,8.0,0.9,2.6,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-21.4,-7.0,..,..
Lesotho,3.9,3.6,0.7,4.6,1.7,3.5,4.2,4.2,5.5,-1.3,,5.3,4.6,6.3,1.8,1.7,3.1,3.6,-3.1,-1.5,-1.4,-7.5,1.9,1.1,..
Liberia,..,2.9,3.8,-30.1,2.6,5.3,8.0,9.5,7.1,5.3,,6.1,8.2,8.0,8.7,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,..
Libya,3.7,-1.8,-1.0,13.0,4.5,11.9,6.5,6.2,-0.2,-4.4,,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.8,31.4,-1.2,..
Liechtenstein,3.2,-0.7,-1.0,-1.9,3.0,4.8,8.6,3.3,1.8,-1.2,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,3.7,6.5,6.8,10.6,6.6,7.7,7.4,11.1,2.6,-14.8,,1.7,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.7,0.0,6.3,2.4,..
Luxembourg,6.9,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.9,-0.9,7.2,1.4,..
"Macao SAR, China",5.7,2.9,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,9.9,6.4,-2.6,-54.3,23.5,-21.5,..
North Macedonia,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9,-6.1,5.5,2.1,..
Madagascar,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,3.8,..
Malawi,1.6,-5.0,1.7,5.7,5.4,3.3,4.7,9.6,7.6,8.3,,6.9,4.9,1.9,5.4,5.6,2.8,2.5,4.0,4.4,5.4,0.8,2.8,0.9,..
Malaysia,8.9,0.5,5.4,5.8,6.8,5.3,5.6,6.3,4.8,-1.5,,7.4,5.3,5.5,4.7,6.0,5.1,4.4,5.8,4.8,4.4,-5.5,3.3,8.7,..
Maldives,3.8,-3.9,7.3,13.8,5.8,-11.2,23.6,7.1,9.0,-8.2,,6.8,8.6,2.4,7.0,7.8,4.0,6.6,7.1,8.7,7.3,-32.9,37.7,13.9,..
Mali,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.8,,5.3,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.7,..
Malta,19.7,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,,5.5,0.5,4.1,5.5,7.6,9.6,3.4,10.9,7.4,7.1,-8.1,12.3,6.9,..
Marshall Islands,1.4,6.8,3.7,-1.6,1.4,1.8,0.2,3.4,-7.6,3.7,,5.4,-0.2,-1.3,3.6,-1.2,2.1,2.1,3.7,5.7,10.4,-2.8,1.1,-0.7,..
Mauritania,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,3.1,-0.4,0.7,6.4,..
